Date,portfolio_value
2024-06-10,10805.97054975892
2024-06-11,10766.770685097132
2024-06-12,10914.442117904437
2024-06-13,10841.595780872378
2024-06-14,10692.607688118851
2024-06-17,10852.779782727352
2024-06-18,10905.263230237628
2024-06-20,10768.450103499803
2024-06-21,10701.98252705514
2024-06-24,10690.726753511175
2024-06-25,10763.397368351028
2024-06-26,10814.815437534846
2024-06-27,10821.171108801977
2024-06-28,10888.370506738782
2024-07-01,10699.703228269072
2024-07-02,10744.874194605993
2024-07-03,10819.003260813768
2024-07-05,10737.505079077446
2024-07-08,10792.842397095888
2024-07-09,10797.622758666417
2024-07-10,10908.878816233902
2024-07-11,11092.47755248553
2024-07-12,11174.419547632177
2024-07-15,11190.405704881308
2024-07-16,11494.215903758364
2024-07-17,11149.308645944002
2024-07-18,10961.242926615085
2024-07-19,10821.990369177507
2024-07-22,10933.820423623169
2024-07-23,10978.552048786669
2024-07-24,10538.017956837917
2024-07-25,10694.756826899646
2024-07-26,11193.767836833998
2024-07-29,11084.060398587042
2024-07-30,10991.812726358
2024-07-31,11272.681540169198
2024-08-01,10742.863983105543
2024-08-02,10378.625644758991
2024-08-05,9968.26738551309
2024-08-06,9959.273869474722
2024-08-07,9994.623794030224
2024-08-08,10313.56065027689
2024-08-09,10311.19999087387
2024-08-12,10229.76870108089
2024-08-13,10599.240903393518
2024-08-14,10589.89050193264
2024-08-15,11087.25574619223
2024-08-16,11142.13174152911
2024-08-19,11275.359445665053
2024-08-20,11107.203394118598
2024-08-21,11224.376391780315
2024-08-22,11020.478797878488
2024-08-23,11332.631304669298
2024-08-26,11182.094597792595
2024-08-27,11102.251461998756
2024-08-28,11055.888327738992
2024-08-29,11018.866300708456
2024-08-30,11117.045988886795
2024-09-03,10680.139748854814
2024-09-04,10682.720438351776
2024-09-05,10628.915753927291
2024-09-06,10386.042580119687
2024-09-09,10548.226080215785
2024-09-10,10661.707029041196
2024-09-11,10967.429386225442
2024-09-12,11075.196310110878
2024-09-13,11382.441281642734
2024-09-16,11304.13300989688
2024-09-17,11435.397508213811
2024-09-18,11423.294654560948
2024-09-19,11795.751775557206
2024-09-20,11618.6151891104
2024-09-23,11658.060804852974
2024-09-24,11786.993897607603
2024-09-25,11764.660941082333
2024-09-26,12014.451021973317
2024-09-27,12077.646989466659
2024-09-30,11988.159175159146
2024-10-01,11651.212900186
2024-10-02,11679.342543836783
2024-10-03,11662.485055459432
2024-10-04,11839.68162208149
2024-10-07,11739.885222386978
2024-10-08,11929.088598606217
2024-10-09,11977.854269231484
2024-10-10,12179.378596001252
2024-10-11,12329.06847376864
2024-10-14,12422.855704474858
2024-10-15,12289.440167061774
2024-10-16,12541.612075133022
2024-10-17,12535.650583531497
2024-10-18,12557.675298159675
2024-10-21,12374.812208069525
2024-10-22,12218.643303234947
2024-10-23,12079.222949677653
2024-10-24,12066.360312435278
2024-10-25,11984.046524795007
2024-10-28,12040.906142102684
2024-10-29,12019.70447244285
2024-10-30,11971.837722780383
2024-10-31,11816.141679813793
2024-11-01,11760.719940795343
2024-11-04,11873.931913431594
2024-11-05,12139.35513474143
2024-11-06,12709.01322676065
2024-11-07,12730.067846690406
2024-11-08,12666.60193344158
2024-11-11,12755.402686220114
2024-11-12,12738.775783544252
2024-11-13,12649.404779918576
2024-11-14,12555.452108614778
2024-11-15,12322.034133181358
